HHMMSS,HeartRate,SkinTemperature,Tagged_Activity,Home_Occupancy,Outside_Temperature(Celcius),Humidity(%),Forecast_Temp,Forecast_Humidity,Forecast_HeartRate,Indoor_Temp,AC_Setpoint,Air_Velocity,PMV
2024-09-03 00:00:00,64,33.54,Sleep,Y,37.79,66.67,38.1,66.48,68,34.2088,25.0,0.1,2.8739999999999997
2024-09-03 01:00:00,68,33.45,Sleep,Y,38.1,66.48,39.52,66.34,62,37.010464,34.2088,0.1,3.705
2024-09-03 02:00:00,62,31.75,Sleep,Y,39.52,66.34,39.58,69.36,61,2.6289779200000254,35.0,0.1,
2024-09-03 03:00:00,61,31.57,Sleep,Y,39.58,69.36,39.99,69.44,65,161.91211125759952,10.0,0.1,
2024-09-03 04:00:00,65,33.56,Sleep,Y,39.99,69.44,39.99,69.5,70,-2210.289811484664,35.0,0.1,-1116.188905742332
2024-09-03 05:00:00,70,34.18,Wake Up,Y,39.99,69.5,39.11,68.5,110,39375.128259508245,10.0,0.1,
2024-09-03 06:00:00,110,37.14,Exercise,Y,39.11,68.5,40.2,67.0,78,-697069.1135584861,35.0,0.1,
2024-09-03 07:00:00,78,35.06,Normal,N,40.2,67.0,40.02,67.07,76,12352273.636256373,10.0,0.1,
2024-09-03 08:00:00,76,36.79,Normal,N,40.02,67.07,40.21,66.82,72,-218881630.0200629,35.0,0.1,
2024-09-03 09:00:00,72,36.17,Normal,N,40.21,66.82,40.03,66.82,77,3878582692.9067144,10.0,0.1,
2024-09-03 10:00:00,77,36.48,Normal,N,40.03,66.82,41.4,67.75,76,-68728484659.48538,35.0,0.1,
2024-09-03 11:00:00,76,35.99,Normal,N,41.4,67.75,42.16,65.97,74,1217868748375.8892,10.0,0.1,
2024-09-03 12:00:00,74,36.02,Normal,N,42.16,65.97,43.62,64.24,75,-21580634220560.402,35.0,0.1,
2024-09-03 13:00:00,75,36.9,Normal,N,43.62,64.24,45.53,66.09,73,382408838388541.75,10.0,0.1,
2024-09-03 14:00:00,73,36.71,Normal,N,45.53,66.09,47.39,68.03,76,-6776284616244297.0,35.0,0.1,
2024-09-03 15:00:00,76,36.21,Normal,N,47.39,68.03,48.91,69.72,72,1.2007576339984914e+17,10.0,0.1,
2024-09-03 16:00:00,72,35.73,Normal,N,48.91,69.72,49.43,68.66,75,-2.1277425274453256e+18,35.0,0.1,
2024-09-03 17:00:00,75,36.79,Normal,N,49.43,68.66,49.11,66.62,72,3.770359758633117e+19,10.0,0.1,
2024-09-03 18:00:00,72,36.27,Normal,N,49.11,66.62,47.02,68.96,71,-6.681077492297884e+20,35.0,0.1,
2024-09-03 19:00:00,71,35.59,Normal,Y,47.02,68.96,44.67,68.2,71,1.1838869316351851e+22,10.0,0.1,
2024-09-03 20:00:00,71,36.79,Normal,Y,44.67,68.2,43.0,69.93,69,-2.0978476428575486e+23,35.0,0.1,
2024-09-03 21:00:00,69,35.27,Wind Down,Y,43.0,69.93,39.99,69.98,67,3.717386023143576e+24,10.0,0.1,
2024-09-03 22:00:00,67,34.58,Sleep,Y,41.43,69.98,38.1,65.71,66,-6.587208033010417e+25,35.0,0.1,-3.2936040165052083e+25
2024-09-03 23:00:00,66,34.45,Sleep,Y,39.33,65.71,38.1,65.71,64,1.1672532634494456e+27,10.0,0.1,
